fecha,ubicacion,id_camera,ACCIDENTE,Gravedad_nombre,con_embriaguez,con_persona_mayor,con_embarazo,latitud,longitud,year
2019-09-19,AV AVENIDA BOYACA-CL 53 2,DEI-007/CAM-01,A001053917,Solo Daños,NO,NO,,4.67099999999999,-74.107,2019
2019-09-19,AV AVENIDA BOYACA-CL 53 2,DEI-007/CAM-02,A001053917,Solo Daños,NO,NO,,4.67099999999999,-74.107,2019
2019-09-17,CL 170-KR 72 02,DEI-030/CAM-01,A001053928,Solo Daños,NO,SI,,4.75540261100002,-74.065983454,2019
2019-09-17,CL 170-KR 72 02,DEI-030/CAM-02,A001053928,Solo Daños,NO,SI,,4.75540261100002,-74.065983454,2019
2019-09-13,KR 86-CL 53 S 2,DEI-031/CAM-01,A001053943,Con Heridos,NO,NO,,4.62400000000002,-74.179,2019
2019-09-13,KR 86-CL 53 S 2,DEI-031/CAM-02,A001053943,Con Heridos,NO,NO,,4.62400000000002,-74.179,2019
2019-09-22,AV AVENIDA DEL SUR-KR 71B 2,DEI-039/CAM-01,A001053952,Solo Daños,NO,NO,,4.630499999999985,-74.134,2019
2019-09-22,AV AVENIDA DEL SUR-KR 71B 2,DEI-039/CAM-02,A001053952,Solo Daños,NO,NO,,4.630499999999985,-74.134,2019
2019-09-22,AV AVENIDA BOYACA-CL 49 S 35,DEI-031/CAM-01,A001053971,Con Heridos,NO,NO,,4.62587411999999,-74.177083542,2019
2019-09-22,AV AVENIDA BOYACA-CL 49 S 35,DEI-031/CAM-02,A001053971,Con Heridos,NO,NO,,4.62587411999999,-74.177083542,2019
2019-09-22,AV AVENIDA CARACAS-CL 52 S 2,DEI-007/CAM-01,A001054007,Solo Daños,NO,NO,,4.67000000000002,-74.108,2019
2019-09-22,AV AVENIDA CARACAS-CL 52 S 2,DEI-007/CAM-02,A001054007,Solo Daños,NO,NO,,4.67000000000002,-74.108,2019
2019-10-22,CL 19-KR 13 2,DEI-027/CAM-01,A001054084,Con Heridos,NO,SI,,4.608,-74.075,2019
2019-10-22,CL 19-KR 13 2,DEI-027/CAM-02,A001054084,Con Heridos,NO,SI,,4.608,-74.075,2019
2019-09-19,CL 100-KR 23 02,DEI-010/CAM-03,A001054159,Solo Daños,NO,SI,,4.68700000000001,-74.056,2019
